Title,Price,Rating,RAM,Display,Camera,Battery,Warranty,Rating_Numeric,Sentiment,Title_Sentiment_Score
"POCO X8 Pro (Green, 256 GB)","₹34,999",4.3,8 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,Positive,0.0
Micromax X778,"₹1,370",3.9,32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2700 mAh Battery,,3.9,Neutral,0.0
"OPPO K14 5G (Prism White, 256 GB)","₹21,999",4.4,6 GB RAM | 256 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,Positive,0.0
Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments,"₹1,332",3.8,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP | 0MP Front Camera,1000 mAh Battery,1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES,3.8,Neutral,0.0
"MOTOROLA g37 (PANTONE Nautical Blue, 64 GB)","₹14,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5200 mAh Battery,1 Year on Handset and 6 Months on Accessories,4.3,Positive,0.0
"POCO X8 Pro (Green, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4,Positive,0.0
Kechaoda A27,₹969,4.0,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) QVGA Display,0MP | 0MP Front Camera,800 mAh Battery,3 Months Company Warranty,4.0,Positive,0.0
"Samsung Galaxy M07 (Black, 64 GB)","₹9,655",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.3,Positive,0.0
"OPPO K14 5G (Prism Violet, 256 GB)","₹23,999",4.3,8 GB RAM | 256 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,Positive,0.0
"Samsung Galaxy A17 5G (Black, 128 GB)","₹21,997",4.3,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,Positive,0.0
"Samsung Galaxy F70e 5G (Spotlight Blue, 128 GB)","₹12,999",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Li-ion Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2,Positive,0.0
Kechaoda K115,"₹1,029",4.1,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery,3 Months Company Warranty,4.1,Positive,0.0
"OPPO K14 5G (Prism Violet, 256 GB)","₹21,999",4.4,6 GB RAM | 256 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,Positive,0.0
"REDMI A7 Pro 5G (Black, 128 GB)","₹13,849",4.1,4 GB RAM | 128 GB ROM | Expandable Upto 128 GB,17.53 cm (6.9 inch) Full HD+ Display,32MP Rear Camera,6300 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.1,Positive,0.0
"POCO C85x (Emerald Green, 64 GB)","₹12,999",4.1,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.53 cm (6.9 inch) HD+ Display,32MP Rear Camera,6300 mAh Lithium-Ion Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,Positive,0.0
"Infinix SMART 20 (Sunlike Orange, 64 GB)","₹12,499",4.0,4 GB RAM | 64 GB ROM,17.22 cm (6.78 inch) HD+ Display,8MP Rear Camera | 8MP Front Camera,5200 mAh Battery,"1 year for Handset
6 months for Accessories",4.0,Positive,0.5319
"POCO X8 Pro (Black, 256 GB)","₹37,999",4.4,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Full HD+ AMOLED Display,50MP + 8MP | 20MP Front Camera,6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4,Positive,0.0
"POCO M7 Plus 5G (Aqua Blue, 128 GB)","₹17,999",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.53 cm (6.9 inch) Full HD+ Display,50MP AI Dual Camera | 8MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,Positive,0.0
